ride_id,user_id,pickup_city,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_datetime,dropoff_datetime,ride_status,vehicle_type,distance_miles,duration_minutes,fare_amount_usd,tip_amount_usd,surge_multiplier,payment_method,ride_purpose,user_rating,wait_time_minutes
9916730,4839930,Los Angeles,34.14603,-118.28313,33.97268,-118.33498,2022-06-21 08:35:59,2022-06-21 09:00:59,Completed,Electric Sedan,12.34,25,54.36,5.59,2.0,Crypto,Airport Transfer,5,5
2472812,2252093,San Diego,32.67364,-117.19278,32.68592,-117.12753,2022-11-07 00:47:10,2022-11-07 00:56:10,Completed,Electric SUV,3.89,9,14.2,0.27,1.2,Promo Credit,Night Out,4,2
3036025,6381199,Chicago,41.86775,-87.6692,41.91234,-87.57916,2022-10-13 20:54:23,2022-10-13 21:26:23,Completed,Luxury,5.56,32,26.35,0.61,1.2,Promo Credit,Shopping,2,10
3136246,2058890,Detroit,42.29993,-83.07789,42.26106,-83.10389,2022-10-10 20:32:05,2022-10-10 20:40:05,No-show,Electric Sedan,3.0,8,0.0,0.0,2.0,App Wallet,Tourist,,3
6045504,7018475,San Francisco,37.73322,-122.40431,37.84623,-122.38883,2024-12-09 06:49:44,2024-12-09 07:22:44,No-show,SUV,7.85,33,0.0,0.0,2.0,Credit Card,Daily Commute,,5
3366226,3757392,Los Angeles,34.14691,-118.26648,34.11844,-118.30811,2022-12-28 23:50:31,2022-12-29 00:01:31,Completed,SUV,3.09,11,9.3,5.63,1.0,App Wallet,Business Meeting,5,8
9279131,5234399,Phoenix,33.41711,-112.09839,33.54145,-112.10536,2024-10-13 22:37:58,2024-10-13 22:58:58,Completed,Minivan,8.6,21,23.64,2.47,1.2,Debit Card,Daily Commute,4,20
6135874,8764565,Atlanta,33.8069,-84.45074,33.68655,-84.38939,2022-11-07 08:28:09,2022-11-07 09:20:09,Completed,Electric Sedan,9.03,52,20.56,0.29,1.0,Debit Card,Airport Transfer,5,5
5611544,3344693,Detroit,42.32487,-83.09512,42.26376,-82.9634,2022-11-06 07:50:54,2022-11-06 08:12:54,Completed,SUV,7.95,22,19.99,0.34,1.0,Promo Credit,Airport Transfer,4,2
3254780,9473056,Portland,45.60895,-122.70711,45.56787,-122.67538,2022-09-18 22:44:03,2022-09-18 23:02:03,Cancelled,Sedan,3.23,18,0.0,0.0,1.2,Corporate,Medical Appointment,,2
9850585,9600124,Chicago,41.85483,-87.59525,41.9682,-87.59904,2023-06-16 00:27:32,2023-06-16 01:08:32,Completed,Compact,7.84,41,17.11,2.26,1.2,App Wallet,Daily Commute,5,8
8232197,6074794,Chicago,41.82265,-87.62779,41.86371,-87.53642,2023-01-03 20:59:00,2023-01-03 21:17:00,Completed,Minivan,5.49,18,20.22,0.3,1.5,App Wallet,Shopping,5,8
7560250,7471884,New York,40.74698,-73.94597,40.76164,-73.93405,2024-07-13 16:14:43,2024-07-13 16:19:43,Completed,Electric Sedan,1.19,5,5.86,0.58,1.2,App Wallet,Airport Transfer,4,5
7022111,3071343,Chicago,41.90381,-87.60298,41.84666,-87.60432,2024-12-02 01:49:36,2024-12-02 02:11:36,In Progress,Sedan,3.95,22,0.0,0.0,1.2,Credit Card,Shopping,,10
5711837,1853544,Chicago,41.85245,-87.58834,41.94298,-87.70844,2023-02-06 01:00:06,2023-02-06 01:37:06,Completed,SUV,8.79,37,26.21,0.67,1.2,Credit Card,Tourist,4,4
2381888,5428220,Las Vegas,36.07154,-115.14917,36.22763,-115.12836,2024-02-23 10:44:49,2024-02-23 11:20:49,Completed,Sedan,10.85,36,22.03,0.86,1.0,Crypto,Daily Commute,2,8
7376361,1908213,Los Angeles,34.01517,-118.18493,34.11862,-118.23549,2023-02-07 07:31:39,2023-02-07 08:15:39,Completed,Compact,7.71,44,21.1,0.54,1.5,Credit Card,Airport Transfer,5,3
6126035,5849348,Phoenix,33.3527,-112.15587,33.39632,-112.108,2022-05-24 06:35:01,2022-05-24 06:53:01,Completed,Sedan,4.09,18,24.66,0.3,2.5,Credit Card,Daily Commute,4,2
4931003,8537039,Dallas,32.80667,-96.8665,32.84335,-96.85321,2023-09-24 21:57:44,2023-09-24 22:05:44,No-show,SUV,2.65,8,0.0,0.0,1.5,Credit Card,School Run,,5
6642764,9337796,Chicago,41.83517,-87.59132,41.84512,-87.69098,2022-04-18 21:29:35,2022-04-18 21:48:35,Completed,Sedan,5.18,19,17.74,0.58,1.5,Credit Card,Night Out,5,4
8097955,4510089,Boston,42.4016,-71.10328,42.37525,-71.1113,2022-06-22 21:53:20,2022-06-22 22:02:20,Completed,Sedan,1.87,9,10.56,0.14,1.8,App Wallet,Night Out,5,6
2402767,3273863,San Francisco,37.75651,-122.4797,37.69447,-122.50754,2023-03-23 15:46:26,2023-03-23 15:55:26,Completed,Sedan,4.55,9,16.04,2.34,1.5,Credit Card,Daily Commute,2,20
2082171,8836487,Portland,45.60062,-122.60057,45.46541,-122.67455,2022-04-12 14:35:58,2022-04-12 15:22:58,Completed,Compact,10.0,47,17.5,0.21,1.0,Debit Card,Night Out,4,3
9587803,3850158,Dallas,32.74897,-96.7861,32.69749,-96.73668,2022-06-14 00:28:22,2022-06-14 00:40:22,Completed,Minivan,4.57,12,11.64,15.14,1.0,Credit Card,School Run,3,5
6703880,3297376,Los Angeles,34.10284,-118.3191,34.05691,-118.21377,2022-03-27 00:06:21,2022-03-27 00:30:21,Completed,Electric Sedan,6.81,24,24.18,3.15,1.5,App Wallet,Daily Commute,5,4
9245651,8128656,Miami,25.72609,-80.16284,25.75055,-80.28256,2023-01-28 05:01:41,2023-01-28 05:44:41,Completed,Minivan,7.64,43,26.67,2.07,1.5,Debit Card,Medical Appointment,5,4
4024836,7130304,Houston,29.67254,-95.40216,29.69572,-95.36968,2023-01-27 09:32:54,2023-01-27 09:37:54,Completed,SUV,2.52,5,14.48,0.2,1.8,App Wallet,Shopping,4,2
2325452,8963078,Boston,42.40796,-71.01359,42.28332,-71.10867,2022-04-19 11:01:44,2022-04-19 11:33:44,Completed,Electric SUV,9.89,32,78.71,15.62,3.0,App Wallet,Shopping,4,10
1953046,6831696,Boston,42.29867,-71.00037,42.45119,-71.05081,2024-11-20 09:14:14,2024-11-20 09:53:14,Completed,SUV,10.85,39,26.37,0.56,1.0,Debit Card,Business Meeting,5,4
6150137,4660409,Chicago,41.95404,-87.61342,41.8122,-87.66827,2024-10-12 05:14:41,2024-10-12 06:13:41,Completed,Compact,10.2,59,53.4,0.15,3.0,Credit Card,Night Out,5,2
1496742,4239787,Chicago,41.96064,-87.70754,41.8783,-87.68702,2022-01-30 06:25:54,2022-01-30 06:41:54,No-show,Luxury,5.79,16,0.0,0.0,1.5,Credit Card,Daily Commute,,8
9078175,6644502,Denver,39.74198,-105.01976,39.74926,-104.8946,2022-01-19 10:50:49,2022-01-19 11:04:49,Completed,Compact,6.67,14,12.5,0.08,1.0,Debit Card,Airport Transfer,5,10
9054803,6581450,Detroit,42.4263,-82.97012,42.25695,-83.12257,2022-05-19 16:32:34,2022-05-19 17:45:34,Completed,Luxury,14.05,73,77.51,0.61,1.5,Debit Card,Medical Appointment,2,8
7749616,4742150,Minneapolis,45.06564,-93.23863,44.91769,-93.32999,2022-05-14 10:40:40,2022-05-14 11:21:40,Cancelled,Compact,11.15,41,0.0,0.0,1.0,Promo Credit,School Run,,2
1090585,4602078,San Francisco,37.84465,-122.43971,37.68907,-122.45028,2023-01-08 22:08:19,2023-01-08 23:10:19,Completed,Compact,10.77,62,18.66,5.84,1.0,App Wallet,Shopping,5,10
4954859,2978051,Los Angeles,34.03345,-118.25837,33.96743,-118.27398,2024-05-03 11:31:11,2024-05-03 11:58:11,Completed,SUV,4.65,27,15.28,0.07,1.2,Promo Credit,Event,5,4
6927828,5056701,San Diego,32.74766,-117.06003,32.69632,-117.10402,2024-07-07 02:28:18,2024-07-07 02:47:18,Completed,Sedan,4.37,19,18.66,0.29,1.8,Debit Card,Night Out,5,5
8217114,9154277,Las Vegas,36.08444,-115.09245,36.13472,-115.04711,2022-07-13 20:37:17,2022-07-13 20:50:17,Completed,Sedan,4.3,13,10.24,3.78,1.0,App Wallet,Night Out,5,3
3843025,6387028,San Francisco,37.84503,-122.51004,37.71906,-122.50897,2022-07-29 07:09:09,2022-07-29 07:56:09,Completed,Luxury,8.7,47,32.95,5.37,1.0,Credit Card,Shopping,2,8
2851773,6091209,New York,40.69199,-73.9576,40.68057,-74.0949,2024-09-10 00:44:04,2024-09-10 01:24:04,Completed,Compact,7.24,40,13.36,2.37,1.0,Debit Card,Food Delivery,5,8
9260856,4100874,Phoenix,33.45839,-112.06024,33.51034,-112.04392,2024-03-23 14:22:26,2024-03-23 14:34:26,Cancelled,Luxury,3.71,12,0.0,0.0,1.2,Credit Card,Daily Commute,,6
2989282,6669327,Houston,29.7427,-95.46214,29.74601,-95.38968,2024-05-24 21:09:50,2024-05-24 21:23:50,Completed,Electric Sedan,4.35,14,11.2,0.15,1.0,Crypto,Business Meeting,4,4
7143227,3153148,San Francisco,37.71772,-122.48334,37.86628,-122.45646,2023-08-13 09:29:05,2023-08-13 09:55:05,Completed,Compact,10.37,26,18.05,0.36,1.0,Credit Card,Daily Commute,5,5
1382929,1438146,Minneapolis,44.88639,-93.36961,44.96104,-93.21015,2024-12-28 07:16:12,2024-12-28 07:59:12,Completed,Sedan,9.35,43,57.99,2.15,3.0,Credit Card,Airport Transfer,5,3
7823323,3613965,Atlanta,33.75845,-84.47841,33.79799,-84.42974,2024-09-21 02:00:23,2024-09-21 02:19:23,Cancelled,Compact,3.91,19,0.0,0.0,1.0,App Wallet,Daily Commute,,4
4471082,3612213,Phoenix,33.42917,-112.03461,33.35363,-112.11816,2023-06-02 18:36:20,2023-06-02 19:14:20,Completed,Luxury,7.1,38,54.7,1.22,2.0,App Wallet,Food Delivery,5,4
8533931,3374074,San Diego,32.76198,-117.17257,32.73794,-117.2104,2024-05-22 17:06:52,2024-05-22 17:17:52,No-show,SUV,2.76,11,0.0,0.0,1.0,App Wallet,Medical Appointment,,8
7721150,5182063,Las Vegas,36.12776,-115.08782,36.21726,-115.06694,2022-12-30 07:45:18,2022-12-30 08:08:18,Completed,Electric Sedan,6.29,23,15.08,3.46,1.0,Corporate,Daily Commute,5,12
6724885,9292540,Los Angeles,34.1022,-118.19641,34.14296,-118.19402,2022-10-29 13:54:46,2022-10-29 14:10:46,Completed,SUV,2.82,16,8.7,0.41,1.0,Debit Card,Daily Commute,5,8
4881654,1416408,San Francisco,37.67488,-122.3305,37.86379,-122.40595,2024-09-24 07:25:26,2024-09-24 07:58:26,Completed,Sedan,13.69,33,27.14,0.67,1.0,Debit Card,Shopping,5,3
7018189,4644313,Chicago,41.92883,-87.63449,41.85312,-87.5726,2022-09-26 08:53:40,2022-09-26 09:24:40,Cancelled,SUV,6.12,31,0.0,0.0,1.2,App Wallet,School Run,,6
2849429,1098123,Houston,29.85047,-95.38139,29.74082,-95.33773,2023-06-30 03:51:16,2023-06-30 04:12:16,Completed,SUV,8.02,21,20.14,1.13,1.0,Credit Card,Medical Appointment,5,5
6176352,6957760,Los Angeles,33.97171,-118.30097,34.03133,-118.25594,2022-06-09 12:51:04,2022-06-09 13:16:04,Completed,Luxury,4.86,25,19.51,1.72,1.0,Promo Credit,Airport Transfer,5,3
6203001,1961533,Houston,29.8093,-95.34814,29.77056,-95.38731,2024-02-18 06:29:53,2024-02-18 06:43:53,Completed,Sedan,3.56,14,13.36,0.73,1.5,Credit Card,Medical Appointment,5,5
6606984,3288510,Los Angeles,33.97572,-118.32454,33.95817,-118.23312,2024-07-21 11:41:44,2024-07-21 11:59:44,Completed,Compact,5.38,18,12.68,0.87,1.2,App Wallet,Airport Transfer,5,10
1019271,5599458,San Francisco,37.78265,-122.3624,37.82607,-122.3615,2022-09-07 11:46:06,2022-09-07 12:01:06,No-show,Minivan,3.0,15,0.0,0.0,1.0,Debit Card,Food Delivery,,6
5064560,6044881,Chicago,41.95959,-87.6036,41.81104,-87.72329,2022-11-12 03:11:11,2022-11-12 03:58:11,Completed,Minivan,11.97,47,26.44,1.69,1.0,App Wallet,Business Meeting,5,3
4237248,4615791,Los Angeles,33.95086,-118.21332,34.09897,-118.24392,2024-04-22 12:56:46,2024-04-22 13:43:46,Completed,SUV,10.38,47,50.67,0.76,2.0,Credit Card,Daily Commute,5,15
6279841,9477455,Austin,30.30822,-97.70586,30.19992,-97.68202,2023-01-27 05:49:35,2023-01-27 06:34:35,Completed,Compact,7.62,45,13.93,0.02,1.0,Corporate,Event,5,8
3243921,5618863,New York,40.74125,-74.0476,40.76001,-73.97604,2024-04-30 20:06:36,2024-04-30 20:18:36,Completed,SUV,3.96,12,11.21,8.75,1.0,Credit Card,Night Out,5,10
5951859,8149522,Phoenix,33.45722,-112.1606,33.42371,-112.00832,2022-12-18 23:56:05,2022-12-19 00:37:05,Completed,Minivan,9.08,41,20.66,0.51,1.0,App Wallet,Daily Commute,5,1
4107191,1527475,Nashville,36.09464,-86.71176,36.17096,-86.81505,2022-05-01 10:26:27,2022-05-01 10:54:27,Completed,Electric Sedan,7.81,28,18.12,2.26,1.0,Credit Card,Tourist,4,5
2055177,9938970,Houston,29.7417,-95.33896,29.70384,-95.40039,2024-04-15 08:42:25,2024-04-15 09:00:25,Completed,SUV,4.52,18,12.44,0.8,1.0,Credit Card,Daily Commute,4,1
1871340,3424948,New York,40.76155,-74.108,40.76804,-73.99252,2024-07-14 19:51:10,2024-07-14 20:18:10,Completed,SUV,6.06,27,47.5,0.62,3.0,Credit Card,Shopping,5,5
7629451,7467075,Minneapolis,44.9042,-93.20671,44.93518,-93.29049,2022-04-12 15:07:31,2022-04-12 15:28:31,Cancelled,SUV,4.62,21,0.0,0.0,1.0,Debit Card,Airport Transfer,,5
1513658,5363664,Los Angeles,34.02171,-118.31794,34.05238,-118.15827,2023-05-08 08:05:06,2023-05-08 08:28:06,Completed,Sedan,9.38,23,23.26,5.96,1.2,Credit Card,Night Out,4,3
8339560,6655606,Los Angeles,34.10902,-118.33847,33.99681,-118.20071,2022-06-25 07:28:04,2022-06-25 08:10:04,Cancelled,Minivan,11.06,42,0.0,0.0,1.0,Credit Card,Tourist,,4
9231309,1921981,San Francisco,37.77366,-122.4828,37.75933,-122.4561,2023-06-17 21:28:21,2023-06-17 21:33:21,Completed,Electric Sedan,1.76,5,6.02,0.62,1.0,Debit Card,Daily Commute,5,4
8209261,3757392,Los Angeles,34.14821,-118.25553,34.14385,-118.27951,2023-07-27 18:53:50,2023-07-27 19:00:50,Completed,Compact,1.4,7,4.6,5.89,1.0,App Wallet,Airport Transfer,4,8
